,Title,Genre(s),Developer(s),Publisher(s),Stadia release date,Original release date[a],Date added to Stadia Pro[b],Date no longer claimable on Stadia Pro[c],Ref.
0,A Place for the Unwilling,Adventure,ALPixel Games,ALPixel Games,"February 23, 2021","July 25, 2019",,,[1]
1,Adam Wolfe,"Adventure, Puzzle",Mad Head Games,Mad Head Games,"March 1, 2022","October 7, 2016","March 1, 2022",,[2]
2,Adventure Time: Pirates of the Enchiridion,Action-adventure,Climax Studios,Outright Games,"March 25, 2022","July 17, 2018",,,[3]
3,Ark: Survival Evolved,"Action-adventure, survival",Studio Wildcard,Studio Wildcard,"September 1, 2021","June 2, 2015","September 1, 2021",,[4][5]
4,Ary and the Secret of Seasons,Action-adventure,"eXiin, Fishing Cactus","Modus Games, Maximum Games","November 5, 2020","September 1, 2020","January 1, 2021","July 1, 2021",[6][7]
5,Assassin's Creed III Remastered,Action role-playing,Ubisoft Montreal,Ubisoft,"December 14, 2021","October 30, 2012",,,[8]
6,Assassin's Creed IV: Black Flag,Action role-playing,Ubisoft Montreal,Ubisoft,"September 14, 2021","October 29, 2013",,,[8]
7,Assassin's Creed Odyssey,Action role-playing,Ubisoft Quebec,Ubisoft,"November 19, 2019","October 5, 2018",,,
8,Assassin's Creed Origins,Action role-playing,Ubisoft Montreal,Ubisoft,"December 15, 2020","October 27, 2017",,,[9][10]
9,Assassin's Creed Syndicate,Action role-playing,Ubisoft Quebec,Ubisoft,"December 15, 2020","October 23, 2015",,,[9][10]
10,Assassin's Creed Unity,Action role-playing,Ubisoft Montreal,Ubisoft,"December 15, 2020","November 11, 2014",,,[9][10]
11,Assassin's Creed Rogue,Action role-playing,Ubisoft Sofia,Ubisoft,"October 5, 2021","November 11, 2014",,,[8]
12,Assassin's Creed Valhalla,Action role-playing,Ubisoft Montreal,Ubisoft,"November 10, 2020","November 10, 2020",,,[11]
13,Attack on Titan 2: Final Battle,Hack and slash,Omega Force,Koei Tecmo,"November 19, 2019","March 15, 2018",,,
14,AVICII Invector,Music video game,Hello There,Hello There,"March 1, 2021","December 10, 2019","March 1, 2021","March 1, 2022",[12]
15,Ben 10: Power Trip,"Adventure, Puzzle",PHL Collective,Outright Games,"October 15, 2021","October 7, 2020",,,[13]
16,Blaze and the Monster Machines: Axle City Racers,Racing,3DClouds,Outright Games,"December 1, 2021","October 1, 2021",,,
17,Bloodstained: Ritual of the Night,Action role-playing,ArtPlay,505 Games,"July 6, 2021","June 18, 2019","January 1, 2022",,[14]
18,Blue Fire,Action-adventure,Robi Studios,Graffiti Games,"June 1, 2021","February 4, 2021","June 1, 2021",,[15]
19,Borderlands 3,First-person shooter,Gearbox Software,2K Games,"December 17, 2019","September 13, 2019",,,
20,Cake Bash,"Party, Beat 'em up",High Tea Frog,Coatsink,"October 15, 2020","October 15, 2020","October 1, 2021",,[16][17]
21,Celeste,Platform,Extremely OK Games,Extremely OK Games,"July 28, 2020","January 25, 2018","October 1, 2020","January 1, 2021",[18]
22,Chicken Police - Paint it RED!,"Adventure, Puzzle",The Wild Gentlemen,HandyGames,"December 6, 2021","November 5, 2020","April 1, 2022",,[3]
23,Child of Light,Platform Role-playing,Ubisoft Montreal,Ubisoft,"October 19, 2021","April 30, 2014",,,[8]
24,Chorus,Space combat,"Fishlabs, Dambuster Studios",Deep Silver,"December 3, 2021","December 3, 2021",,,
25,Chronos: Before the Ashes,Action role-playing,Gunfire Games,THQ Nordic,"December 1, 2020","December 1, 2020","June 1, 2021","September 1, 2021",[15][19]
26,Cities: Skylines,City-building game,Colossal Order,Paradox Interactive,"May 17, 2022","March 10, 2015","May 17, 2022",,[20]
27,City Legends: The Curse of the Crimson Shadow,Adventure,Domini Games,Legacy Games,"April 1, 2022","September 21, 2021","April 1, 2022",,[3][21]
28,Control,Action-adventure,Remedy Entertainment,505 Games,"July 27, 2021","August 27, 2019","October 1, 2021",,[16][22]
29,Cosmic Star Heroine,Role-playing,Zeboyd Games,Zeboyd Games,"April 1, 2021","April 11, 2017","February 1, 2022",,[23][24]
30,Crayta,"Game creation system, Sandbox",Unit 2 Games,Unit 2 Games,"July 1, 2020","July 1, 2020","July 1, 2020","April 1, 2022",[25][26]
31,Cris Tales,Role-playing,"Dreams Uncorporated, SYCK",Modus Games,"July 20, 2021","July 20, 2021",,,[27]
32,Cthulhu Saves Christmas,Role-playing,Zeboyd Games,Zeboyd Games,"December 22, 2020","December 23, 2019","December 22, 2020","January 1, 2022",[7]
33,Cyberpunk 2077,Action role-playing,CD Projekt Red,CD Projekt,"December 10, 2020","December 10, 2020",,,
34,Darksiders Genesis,Action role-playing,Airship Syndicate,THQ Nordic,"December 5, 2019","December 5, 2019","March 1, 2022",,[2]
35,Darksiders II,Action role-playing,Gunfire Games,THQ Nordic,"September 1, 2021","October 27, 2015","September 1, 2021","March 1, 2022",[28]
36,Darksiders III,Action role-playing,Gunfire Games,THQ Nordic,"September 14, 2021","November 27, 2018","January 1, 2022",,
37,Darkwood,Survival horror,Acid Wizard Studio,Acid Wizard Studio,"September 7, 2021","August 17, 2017","March 1, 2022",,[2][29]
38,Dawn of the Monsters,Fighting,3AM Games,WayForward,"March 1, 2022","March 1, 2022","March 1, 2022",,[2]
39,Dead by Daylight,Survival horror,Behaviour Interactive,Behaviour Interactive,"October 1, 2020","June 14, 2016","October 1, 2020","January 1, 2021",[18]
40,DEATHRUN TV,Top-down shooter,Laser Dog,Merge Games,"June 1, 2022","June 13, 2021","June 1, 2022",,[30]
