,work_year,experience_level,employment_type,salary,salary_currency,salary_in_usd,company_size,best_indication
0,2022,2,2,130000,10,130000,1,0.0
1,2022,2,2,90000,10,90000,1,0.0
2,2022,2,2,120000,10,120000,1,0.0
3,2022,2,2,100000,10,100000,1,0.0
4,2022,2,2,85000,10,85000,1,0.0
5,2022,2,2,78000,10,78000,1,0.0
6,2022,1,2,161000,10,161000,1,1.0
7,2022,1,2,110000,10,110000,1,0.0
8,2022,1,2,136000,10,136000,1,0.0
9,2022,1,2,104000,10,104000,1,0.0
10,2022,1,2,45000,20,47379,1,1.0
11,2022,1,2,36000,20,37903,1,1.0
12,2022,4,2,205000,10,205000,1,1.0
13,2022,4,2,160000,10,160000,1,1.0
14,2022,1,2,169000,10,169000,1,1.0
15,2022,1,2,110600,10,110600,1,0.0
16,2022,3,2,50000,30,61927,1,0.0
17,2022,3,2,40000,30,49542,1,0.0
18,2022,1,2,160000,10,160000,1,1.0
19,2022,1,2,130000,10,130000,1,0.0
20,2022,1,2,245000,10,245000,1,1.0
21,2022,1,2,180000,10,180000,1,1.0
22,2022,1,2,135000,10,135000,1,0.0
23,2022,1,2,100000,10,100000,1,0.0
24,2022,1,2,220000,10,220000,1,1.0
25,2022,1,2,150000,10,150000,1,1.0
26,2022,1,2,198440,10,198440,2,1.0
27,2022,1,2,144000,10,144000,2,0.0
28,2022,1,2,240000,10,240000,1,1.0
29,2022,1,2,170000,10,170000,1,1.0
30,2022,1,2,198440,10,198440,1,1.0
31,2022,1,2,144000,10,144000,1,0.0
32,2022,2,2,150000,10,150000,1,1.0
33,2022,2,2,100000,10,100000,1,0.0
34,2022,1,2,120000,10,120000,1,0.0
35,2022,1,2,95000,10,95000,1,0.0
36,2022,2,2,47000,30,58211,1,0.0
37,2022,3,2,64000,10,64000,2,0.0
38,2022,3,2,38000,20,40009,2,1.0
39,2022,1,2,187200,10,187200,1,1.0
40,2022,1,2,116100,10,116100,1,0.0
41,2022,1,2,150000,10,150000,1,1.0
42,2022,1,2,127000,10,127000,1,0.0
43,2022,1,2,275000,10,275000,1,1.0
