,Mjob,Fjob,traveltime,studytime,failures,internet,freetime,absences,G1,G2,G3,Average,approved
0,2.0,3.0,2.0,2.0,0.0,0.0,3.0,4.0,0.0,11.0,11.0,7.0,0.0
1,2.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,9.0,11.0,11.0,10.0,0.0
2,2.0,0.0,1.0,2.0,0.0,1.0,3.0,6.0,12.0,13.0,12.0,12.0,0.0
3,4.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,14.0,14.0,14.0,14.0,0.0
4,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,11.0,13.0,13.0,12.0,0.0
5,1.0,0.0,1.0,2.0,0.0,1.0,4.0,6.0,12.0,12.0,13.0,12.0,0.0
6,0.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,13.0,12.0,13.0,12.0,0.0
7,0.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,10.0,13.0,13.0,12.0,0.0
8,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,15.0,16.0,17.0,16.0,1.0
9,0.0,0.0,1.0,2.0,0.0,1.0,5.0,0.0,12.0,12.0,13.0,12.0,0.0
10,3.0,4.0,1.0,2.0,0.0,1.0,3.0,2.0,14.0,14.0,14.0,14.0,0.0
11,1.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,10.0,12.0,13.0,11.0,0.0
12,4.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,12.0,13.0,12.0,12.0,0.0
13,3.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0,12.0,12.0,13.0,12.0,0.0
14,0.0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,14.0,14.0,15.0,14.0,0.0
15,4.0,0.0,1.0,1.0,0.0,1.0,4.0,6.0,17.0,17.0,17.0,17.0,1.0
16,1.0,1.0,1.0,3.0,0.0,1.0,2.0,10.0,13.0,13.0,14.0,13.0,0.0
17,0.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,13.0,14.0,14.0,13.0,0.0
18,1.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,8.0,8.0,7.0,7.0,0.0
19,4.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,12.0,12.0,12.0,12.0,0.0
20,3.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,12.0,13.0,14.0,13.0,0.0
21,4.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,11.0,12.0,12.0,11.0,0.0
22,3.0,0.0,1.0,2.0,0.0,1.0,5.0,0.0,12.0,13.0,14.0,13.0,0.0
23,0.0,0.0,2.0,2.0,0.0,1.0,4.0,2.0,10.0,10.0,10.0,10.0,0.0
24,1.0,4.0,1.0,3.0,0.0,1.0,3.0,2.0,10.0,11.0,10.0,10.0,0.0
25,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,10.0,11.0,12.0,11.0,0.0
26,0.0,0.0,1.0,1.0,0.0,1.0,2.0,8.0,11.0,12.0,12.0,11.0,0.0
27,4.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,11.0,11.0,11.0,11.0,0.0
28,1.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,12.0,12.0,13.0,12.0,0.0
29,3.0,3.0,1.0,2.0,0.0,1.0,4.0,4.0,12.0,11.0,12.0,11.0,0.0
30,4.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,10.0,11.0,11.0,10.0,0.0
31,1.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,15.0,15.0,15.0,15.0,1.0
32,3.0,2.0,1.0,2.0,0.0,1.0,5.0,0.0,13.0,14.0,15.0,14.0,0.0
33,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,13.0,12.0,12.0,12.0,0.0
34,0.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,12.0,12.0,12.0,12.0,0.0
35,0.0,0.0,2.0,1.0,0.0,0.0,5.0,4.0,11.0,11.0,11.0,11.0,0.0
36,3.0,1.0,1.0,3.0,0.0,1.0,4.0,0.0,14.0,14.0,14.0,14.0,0.0
37,0.0,3.0,2.0,3.0,0.0,1.0,4.0,4.0,13.0,13.0,13.0,13.0,0.0
38,1.0,4.0,1.0,3.0,0.0,1.0,3.0,2.0,11.0,12.0,12.0,11.0,0.0
39,2.0,0.0,1.0,1.0,0.0,0.0,3.0,8.0,14.0,13.0,12.0,13.0,0.0
40,0.0,0.0,2.0,2.0,0.0,1.0,3.0,16.0,11.0,11.0,10.0,10.0,0.0
41,3.0,0.0,1.0,1.0,0.0,1.0,4.0,8.0,10.0,11.0,11.0,10.0,0.0
42,1.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,14.0,15.0,15.0,14.0,0.0
43,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,9.0,10.0,10.0,9.0,0.0
44,0.0,2.0,2.0,2.0,1.0,1.0,3.0,14.0,10.0,11.0,11.0,10.0,0.0
45,0.0,0.0,1.0,2.0,0.0,1.0,2.0,4.0,10.0,11.0,11.0,10.0,0.0
46,0.0,1.0,1.0,2.0,0.0,1.0,3.0,6.0,13.0,12.0,13.0,12.0,0.0
47,4.0,1.0,1.0,4.0,0.0,1.0,2.0,2.0,17.0,17.0,17.0,17.0,1.0
48,3.0,0.0,1.0,2.0,0.0,0.0,3.0,4.0,11.0,12.0,13.0,12.0,0.0
49,1.0,3.0,1.0,2.0,0.0,1.0,4.0,2.0,13.0,12.0,12.0,12.0,0.0
50,1.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,14.0,13.0,13.0,13.0,0.0
51,4.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,16.0,14.0,16.0,15.0,1.0
52,4.0,4.0,2.0,1.0,0.0,0.0,5.0,4.0,10.0,9.0,9.0,9.0,0.0
53,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,13.0,12.0,12.0,12.0,0.0
54,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,13.0,12.0,13.0,12.0,0.0
55,0.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,12.0,13.0,12.0,12.0,0.0
56,1.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,15.0,14.0,15.0,14.0,0.0
57,3.0,4.0,1.0,2.0,0.0,0.0,2.0,8.0,15.0,15.0,16.0,15.0,1.0
58,0.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,14.0,13.0,14.0,13.0,0.0
59,1.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,16.0,15.0,16.0,15.0,1.0
60,4.0,3.0,1.0,2.0,0.0,0.0,4.0,0.0,17.0,16.0,16.0,16.0,1.0
61,1.0,1.0,4.0,1.0,0.0,1.0,5.0,0.0,10.0,10.0,16.0,12.0,0.0
62,0.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,13.0,13.0,10.0,12.0,0.0
63,3.0,4.0,1.0,3.0,0.0,1.0,4.0,0.0,14.0,13.0,13.0,13.0,0.0
64,1.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,13.0,12.0,12.0,12.0,0.0
65,3.0,1.0,3.0,2.0,0.0,1.0,4.0,2.0,16.0,15.0,16.0,15.0,1.0
66,0.0,1.0,1.0,4.0,0.0,1.0,3.0,0.0,11.0,12.0,12.0,11.0,0.0
67,1.0,0.0,1.0,4.0,0.0,1.0,3.0,0.0,10.0,9.0,10.0,9.0,0.0
68,4.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,11.0,10.0,11.0,10.0,0.0
69,0.0,0.0,2.0,4.0,0.0,1.0,4.0,6.0,15.0,15.0,15.0,15.0,1.0
70,0.0,0.0,2.0,4.0,0.0,1.0,3.0,2.0,13.0,11.0,11.0,11.0,0.0
71,0.0,0.0,1.0,4.0,0.0,1.0,3.0,0.0,11.0,9.0,10.0,10.0,0.0
72,0.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,13.0,11.0,11.0,11.0,0.0
73,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,13.0,13.0,14.0,13.0,0.0
74,0.0,1.0,1.0,2.0,0.0,1.0,3.0,4.0,11.0,11.0,11.0,11.0,0.0
75,3.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,11.0,11.0,11.0,11.0,0.0
76,3.0,0.0,2.0,4.0,0.0,1.0,4.0,0.0,12.0,11.0,11.0,11.0,0.0
77,0.0,0.0,1.0,4.0,0.0,1.0,2.0,1.0,13.0,13.0,13.0,13.0,0.0
78,0.0,0.0,2.0,1.0,3.0,1.0,5.0,0.0,9.0,9.0,10.0,9.0,0.0
79,2.0,0.0,1.0,2.0,0.0,1.0,4.0,14.0,12.0,11.0,11.0,11.0,0.0
80,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,11.0,11.0,12.0,11.0,0.0
81,0.0,0.0,1.0,3.0,0.0,1.0,3.0,2.0,10.0,9.0,9.0,9.0,0.0
82,1.0,0.0,1.0,2.0,0.0,1.0,4.0,4.0,12.0,11.0,11.0,11.0,0.0
83,1.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,13.0,12.0,13.0,12.0,0.0
84,0.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,13.0,12.0,12.0,12.0,0.0
85,1.0,1.0,2.0,2.0,0.0,1.0,4.0,4.0,12.0,11.0,12.0,11.0,0.0
86,2.0,0.0,1.0,2.0,0.0,0.0,3.0,6.0,13.0,11.0,11.0,11.0,0.0
87,0.0,0.0,1.0,3.0,0.0,1.0,3.0,4.0,15.0,15.0,15.0,15.0,1.0
88,1.0,0.0,2.0,2.0,0.0,1.0,4.0,6.0,12.0,10.0,11.0,11.0,0.0
89,3.0,4.0,1.0,2.0,0.0,0.0,1.0,6.0,9.0,9.0,10.0,9.0,0.0
90,0.0,0.0,1.0,3.0,0.0,1.0,3.0,2.0,9.0,11.0,11.0,10.0,0.0
91,1.0,0.0,1.0,1.0,0.0,1.0,5.0,6.0,14.0,13.0,13.0,13.0,0.0
92,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,12.0,13.0,12.0,12.0,0.0
93,3.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,13.0,14.0,14.0,13.0,0.0
94,1.0,4.0,1.0,4.0,0.0,1.0,3.0,2.0,11.0,12.0,12.0,11.0,0.0
95,2.0,0.0,2.0,4.0,0.0,1.0,1.0,4.0,13.0,13.0,13.0,13.0,0.0
96,1.0,0.0,2.0,1.0,0.0,1.0,3.0,6.0,9.0,11.0,11.0,10.0,0.0
97,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,13.0,12.0,12.0,12.0,0.0
98,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,12.0,13.0,13.0,12.0,0.0
99,0.0,2.0,1.0,3.0,0.0,1.0,3.0,2.0,12.0,13.0,13.0,12.0,0.0
100,1.0,1.0,1.0,1.0,0.0,1.0,5.0,12.0,9.0,9.0,8.0,8.0,0.0
101,1.0,3.0,1.0,3.0,0.0,1.0,4.0,0.0,16.0,16.0,16.0,16.0,1.0
102,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,12.0,13.0,12.0,12.0,0.0
103,1.0,0.0,2.0,2.0,0.0,1.0,3.0,16.0,11.0,10.0,10.0,10.0,0.0
104,1.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,16.0,16.0,16.0,16.0,1.0
105,0.0,4.0,1.0,4.0,0.0,0.0,3.0,10.0,10.0,10.0,10.0,10.0,0.0
106,0.0,0.0,1.0,4.0,0.0,1.0,1.0,4.0,10.0,10.0,10.0,10.0,0.0
107,1.0,0.0,1.0,3.0,0.0,1.0,3.0,4.0,13.0,14.0,14.0,13.0,0.0
108,0.0,0.0,4.0,4.0,0.0,1.0,3.0,8.0,12.0,10.0,11.0,11.0,0.0
109,4.0,4.0,1.0,3.0,0.0,1.0,4.0,2.0,15.0,15.0,14.0,14.0,0.0
110,3.0,3.0,1.0,1.0,0.0,1.0,5.0,4.0,13.0,14.0,14.0,13.0,0.0
111,1.0,0.0,1.0,3.0,0.0,1.0,1.0,4.0,11.0,11.0,11.0,11.0,0.0
112,2.0,0.0,1.0,2.0,1.0,1.0,1.0,12.0,8.0,10.0,10.0,9.0,0.0
113,3.0,0.0,1.0,1.0,0.0,1.0,5.0,10.0,18.0,17.0,18.0,17.0,1.0
114,4.0,1.0,1.0,2.0,0.0,1.0,4.0,4.0,10.0,9.0,10.0,9.0,0.0
115,3.0,3.0,1.0,2.0,0.0,1.0,4.0,6.0,16.0,14.0,14.0,14.0,0.0
116,0.0,3.0,2.0,2.0,0.0,0.0,4.0,4.0,16.0,15.0,16.0,15.0,1.0
117,0.0,1.0,2.0,1.0,0.0,1.0,4.0,6.0,14.0,14.0,15.0,14.0,0.0
118,0.0,0.0,3.0,2.0,1.0,1.0,2.0,14.0,12.0,11.0,11.0,11.0,0.0
119,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,14.0,13.0,14.0,13.0,0.0
120,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,14.0,14.0,14.0,14.0,0.0
121,1.0,1.0,1.0,4.0,0.0,1.0,5.0,6.0,14.0,13.0,13.0,13.0,0.0
122,0.0,4.0,2.0,2.0,0.0,1.0,2.0,2.0,14.0,12.0,13.0,13.0,0.0
123,4.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,12.0,13.0,13.0,12.0,0.0
124,0.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,12.0,11.0,11.0,11.0,0.0
125,1.0,1.0,1.0,1.0,0.0,1.0,5.0,2.0,9.0,9.0,9.0,9.0,0.0
126,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,10.0,11.0,11.0,10.0,0.0
127,2.0,0.0,1.0,2.0,2.0,0.0,4.0,0.0,9.0,10.0,11.0,10.0,0.0
128,3.0,3.0,1.0,1.0,0.0,1.0,5.0,8.0,14.0,14.0,15.0,14.0,0.0
129,0.0,0.0,2.0,3.0,0.0,1.0,2.0,4.0,13.0,12.0,13.0,12.0,0.0
130,1.0,3.0,2.0,3.0,0.0,1.0,2.0,0.0,10.0,11.0,12.0,11.0,0.0
131,1.0,0.0,1.0,2.0,3.0,1.0,4.0,10.0,10.0,9.0,8.0,9.0,0.0
132,0.0,0.0,3.0,1.0,0.0,1.0,2.0,8.0,11.0,10.0,11.0,10.0,0.0
133,2.0,0.0,3.0,1.0,0.0,1.0,3.0,6.0,11.0,12.0,13.0,12.0,0.0
134,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,13.0,12.0,12.0,12.0,0.0
135,1.0,0.0,1.0,1.0,0.0,1.0,2.0,12.0,15.0,13.0,14.0,14.0,0.0
136,2.0,0.0,4.0,1.0,0.0,0.0,2.0,4.0,9.0,9.0,11.0,9.0,0.0
137,0.0,0.0,1.0,1.0,1.0,0.0,3.0,12.0,13.0,11.0,11.0,11.0,0.0
138,2.0,3.0,4.0,2.0,0.0,0.0,3.0,2.0,12.0,11.0,11.0,11.0,0.0
139,1.0,2.0,1.0,3.0,0.0,1.0,3.0,4.0,13.0,14.0,15.0,14.0,0.0
140,2.0,0.0,3.0,2.0,0.0,0.0,4.0,2.0,10.0,9.0,10.0,9.0,0.0
141,2.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,14.0,13.0,13.0,13.0,0.0
142,1.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,11.0,11.0,12.0,11.0,0.0
143,0.0,1.0,1.0,3.0,0.0,1.0,3.0,10.0,12.0,11.0,11.0,11.0,0.0
144,0.0,1.0,2.0,1.0,0.0,0.0,3.0,8.0,12.0,11.0,11.0,11.0,0.0
145,0.0,0.0,2.0,1.0,0.0,1.0,3.0,4.0,9.0,9.0,10.0,9.0,0.0
146,1.0,0.0,1.0,2.0,2.0,0.0,4.0,0.0,10.0,10.0,10.0,10.0,0.0
147,3.0,3.0,2.0,1.0,0.0,1.0,3.0,6.0,13.0,14.0,14.0,13.0,0.0
148,0.0,0.0,3.0,1.0,1.0,1.0,5.0,2.0,8.0,9.0,9.0,8.0,0.0
149,3.0,1.0,2.0,4.0,0.0,1.0,2.0,6.0,9.0,11.0,11.0,10.0,0.0
150,1.0,1.0,1.0,2.0,0.0,0.0,3.0,24.0,9.0,8.0,9.0,8.0,0.0
151,1.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,15.0,13.0,13.0,13.0,0.0
152,1.0,1.0,2.0,1.0,0.0,1.0,3.0,4.0,12.0,11.0,11.0,11.0,0.0
153,3.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,13.0,13.0,13.0,13.0,0.0
154,2.0,2.0,1.0,1.0,0.0,1.0,4.0,4.0,10.0,11.0,11.0,10.0,0.0
